ticker,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,10.85,31.93,140.52,16.2729,2.9966,2.6311999999999998,5.39,6.1452
2019-01-02,10.86,31.93,140.52,16.2729,2.9966,2.6311999999999998,5.39,6.1452
2019-01-03,10.79,31.93,138.48,16.0367,2.9531,2.593,5.47,6.2357
2019-01-04,11.04,31.93,144.11,16.6887,3.0732,2.6984,5.26,5.9921
2019-01-07,11.03,31.93,145.21,16.8161,3.0966,2.719,5.22,5.9467
2019-01-08,11.01,31.93,147.51,17.0824,3.1457,2.7621,5.14,5.854
2019-01-09,11.11,31.93,146.98,17.021,3.1344,2.7522,5.15,5.8751
2019-01-10,11.08,31.93,147.27,17.0546,3.1406,2.7576,5.14,5.8635
2019-01-11,11.03,31.93,147.07,17.0315,3.1363,2.7539,5.15,5.8715
2019-01-14,11.03,31.93,146.47,16.962,3.1235,2.7426,5.17,5.8955
2019-01-15,11.13,31.93,149.02,17.2573,3.1779,2.7904,5.08,5.7947
2019-01-16,11.15,31.93,148.42,17.1878,3.1651,2.7792,5.1,5.8181
2019-01-17,11.14,31.93,148.98,17.2527,3.177,2.7896,5.08,5.7962
2019-01-18,11.12,31.93,149.76,17.343,3.1937,2.8042,5.06,5.766
2019-01-21,11.12,31.93,149.76,17.343,3.1937,2.8042,5.06,5.766
2019-01-22,11.06,31.93,146.83,17.0037,3.1312,2.7494,5.16,5.8811
2019-01-23,11.0,31.93,147.19,17.0454,3.1388,2.7561,5.15,5.8667
2019-01-24,10.96,31.93,147.23,17.05,3.1397,2.7569,5.14,5.8651
2019-01-25,11.05,31.93,148.72,17.2226,3.1715,2.7848,5.09,5.8063
2019-01-28,11.05,31.93,147.02,17.0257,3.1352,2.7529,5.15,5.8735
2019-01-29,9.06,31.93,145.46,16.845,3.102,2.7237,5.21,5.9365
2019-01-30,9.03,31.93,147.25,17.0523,3.1401,2.7572,5.14,5.8643
2019-01-31,9.36,31.93,152.75,17.6892,3.2574,2.8602,4.96,5.6532
2019-02-01,9.37,31.93,152.23,17.629,3.2463,2.8505000000000003,4.98,5.6725
2019-02-04,9.03,31.93,153.68,17.7969,3.2773,2.8776,4.93,5.6189
2019-02-05,9.1,31.93,155.08,17.9591,3.3071,2.9039,4.88,5.5682
2019-02-06,8.1,31.93,152.77,17.6916,3.2578,2.8606,4.96,5.6524
2019-02-07,8.06,31.93,151.2,17.5097,3.2244,2.8312,5.01,5.7111
2019-02-08,7.51,31.93,151.73,17.5711,3.2357,2.8411,4.99,5.6912
2019-02-11,7.5,31.93,150.78,17.4611,3.2154,2.8233,5.02,5.727
2019-02-12,7.48,31.93,152.5,17.6603,3.2521,2.8555,4.97,5.6624
2019-02-13,7.49,31.93,152.34,17.6418,3.2487,2.8526,4.97,5.6684
2019-02-14,7.51,31.93,152.67,17.68,3.2557,2.8587,4.96,5.6561
2019-02-15,7.44,31.93,153.28,17.7506,3.2687,2.8702,4.9399999999999995,5.6336
2019-02-18,7.44,31.93,153.28,17.7506,3.2687,2.8702,4.9399999999999995,5.6336
2019-02-19,7.43,31.93,153.75,17.8051,3.2787,2.879,4.93,5.6164
2019-02-20,7.41,31.93,153.65,17.7935,3.2766,2.8771,4.93,5.62
2019-02-21,7.37,31.93,152.68,17.6811,3.2559,2.8589,4.96,5.6556999999999995
2019-02-22,7.37,31.93,154.28,17.8664,3.29,2.8889,4.91,5.5971
2019-02-25,7.4,31.93,154.41,17.8815,3.2928,2.8913,4.91,5.5924
2019-02-26,7.31,31.93,154.61,17.9046,3.2971,2.8951000000000002,4.9,5.5851
2019-02-27,7.32,31.93,154.01,17.8352,3.2843,2.8838,4.92,5.6068999999999996
2019-02-28,7.31,31.93,154.0,17.834,3.2841,2.8836,4.92,5.6073
2019-03-01,7.33,31.93,155.2,17.973,3.3097,2.9061,4.88,5.5639
2019-03-04,7.39,31.93,155.24,17.9776,3.3105,2.9069000000000003,4.88,5.5625
2019-03-05,7.43,31.93,156.37,18.1085,3.3346,2.928,4.84,5.5222999999999995
2019-03-06,7.44,31.93,156.35,18.1061,3.3342,2.9276,4.84,5.523
2019-03-07,7.39,31.93,155.08,17.9591,3.3071,2.9039,4.88,5.5682
2019-03-08,7.38,31.93,154.99,17.9486,3.3052,2.9022,4.89,5.5714
2019-03-11,7.37,31.93,157.88,18.2833,3.3668,2.9563,4.8,5.4695
2019-03-12,7.33,31.93,158.77,18.3864,3.3858,2.973,4.77,5.4388
2019-03-13,7.34,31.93,159.17,18.4327,3.3943,2.9804,4.76,5.4251
2019-03-14,7.31,31.93,158.54,18.3598,3.3809,2.9686,4.78,5.4467
2019-03-15,7.27,31.93,158.56,18.3621,3.3813,2.969,4.78,5.446
2019-03-18,7.26,31.92,157.29,18.2039,3.3537,2.9432,4.82,5.4933
2019-03-19,7.43,31.7,157.25,17.9002,3.2815,2.8853999999999997,4.91,5.5865
2019-03-20,7.15,31.69,159.08,18.1548,3.3907,2.96,4.82,5.5082
2019-03-21,7.29,31.69,160.5,18.3128,3.4202,2.9857,4.78,5.4607
2019-03-22,7.2,31.69,158.47,18.0845,3.3776,2.9485,4.84,5.5296
2019-03-25,7.18,31.69,158.17,18.0546,3.372,2.9436,4.84,5.5387
2019-03-26,7.13,31.69,158.88,18.1357,3.3871,2.9569,4.82,5.514
2019-03-27,7.09,31.69,158.02,18.0391,3.3691,2.9411,4.85,5.5435
2019-03-28,7.13,31.69,157.23,17.9502,3.3525,2.9266,4.87,5.571
2019-03-29,7.14,31.69,157.68,18.0009,3.362,2.9349,4.86,5.5553
2019-04-01,7.21,34.32,159.97,18.77,3.2205,2.9294000000000002,5.12,5.3277
2019-04-02,7.27,34.32,160.61,18.8478,3.2334,2.9415,5.1,5.3057
2019-04-03,7.25,34.32,161.2,18.9184,3.2453,2.9526,5.08,5.2859
2019-04-04,7.27,34.32,162.27,19.0424,3.2668,2.9718999999999998,5.05,5.2514
2019-04-05,7.21,34.32,162.33,19.0457,3.268,2.9724,5.05,5.2505
2019-04-08,7.2,34.32,162.08,19.0169,3.263,2.9679,5.05,5.2585
2019-04-09,7.23,34.32,162.12,19.022,3.2638,2.9687,5.05,5.2571
2019-04-10,7.06,34.32,162.61,19.0835,3.2737,2.9783,5.04,5.2401
2019-04-11,7.07,34.32,162.85,19.1096,3.2785,2.9824,5.03,5.233
2019-04-12,8.44,34.32,164.85,19.3442,3.3188,3.019,4.97,5.1695
2019-04-15,6.66,34.32,165.14,19.3784,3.3246,3.0244,4.96,5.1604
2019-04-16,6.71,34.32,165.49,19.4189,3.3316,3.0307,4.95,5.1496
2019-04-17,6.73,34.32,165.74,19.4442,3.3367,3.0346,4.9399999999999995,5.1429
2019-04-18,6.71,34.32,165.97,19.4729,3.3413,3.0391,4.9399999999999995,5.1353
2019-04-19,6.71,34.32,165.97,19.4729,3.3413,3.0391,4.9399999999999995,5.1353
2019-04-22,6.75,34.32,167.17,19.6177,3.3655,3.0617,4.9,5.0974
2019-04-23,7.89,34.32,168.6,19.7853,3.3943,3.0879,4.86,5.0543
2019-04-24,7.88,34.32,167.34,19.6368,3.3689,3.0647,4.9,5.0925
2019-04-25,8.12,34.32,169.15,19.8501,3.4053,3.098,4.84,5.0378
2019-04-26,8.1,34.32,170.44,20.0014,3.4313000000000002,3.1216,4.8100000000000005,4.9996
2019-04-29,8.1,34.32,171.89,20.1698,3.4605,3.1479,4.77,4.9579
2019-04-30,7.89,34.32,167.49,19.6504,3.3719,3.0668,4.89,5.089
2019-05-01,7.91,34.32,166.37,19.5165,3.3494,3.0459,4.93,5.1239
2019-05-02,7.89,34.32,165.53,19.5871,3.3325,3.0317,4.95,5.1054
2019-05-03,7.93,34.32,167.45,19.8153,3.3711,3.067,4.89,5.0466
2019-05-06,7.85,34.32,167.14,19.776699999999998,3.3649,3.061,4.9,5.0565
2019-05-07,7.88,34.32,164.87,19.5086,3.3192,3.0195,4.97,5.1259
2019-05-08,7.86,34.32,164.28,19.4377,3.3073,3.0086,4.99,5.1447
2019-05-09,7.78,34.32,163.98,19.3974,3.3012,3.0023,5.0,5.1553
2019-05-10,7.77,34.32,164.33,19.439,3.3083,3.0088,4.99,5.1443
2019-05-13,7.72,34.32,160.19,18.9476,3.2249,2.9327,5.12,5.2777
2019-05-14,7.7,34.32,160.58,18.9943,3.2328,2.9398999999999997,5.1,5.2647
2019-05-15,7.74,34.32,163.97,19.3994,3.301,3.0026,5.0,5.1548
2019-05-16,6.83,34.32,165.55,19.5916,3.3329,3.0324,4.92,5.1042
2019-05-17,6.79,34.32,164.76,19.4952,3.317,3.0175,4.95,5.1295
2019-05-20,6.71,34.32,162.83,19.104,3.2781000000000002,2.9819,5.0,5.2345
2019-05-21,6.76,34.32,164.39,19.2863,3.3095,3.0104,4.96,5.185
2019-05-22,6.77,34.32,164.44,19.2944,3.3105,3.0117,4.96,5.1829
2019-05-23,6.5,34.32,162.37,19.0504,3.2688,2.9736000000000002,5.02,5.2492
2019-05-24,6.49,34.32,162.38,19.0517,3.269,2.9737999999999998,5.02,5.2489
2019-05-27,6.49,34.32,162.38,19.0517,3.269,2.9737999999999998,5.02,5.2489
2019-05-28,6.52,34.32,162.65,19.0568,3.2745,2.9789,5.01,5.2475
2019-05-29,6.51,34.32,160.85,18.8477,3.2382,2.9463,5.07,5.3057
2019-05-30,6.53,34.32,160.81,18.8451,3.2374,2.9459,5.07,5.3064
2019-05-31,6.53,34.32,157.52,18.4568,3.1712,2.8852,5.17,5.4181
2019-06-03,6.37,34.32,153.13,17.9424,3.0828,2.8047,5.32,5.5734
2019-06-04,6.4,34.32,155.8,18.2566,3.1366,2.8539,5.23,5.4775
2019-06-05,6.37,34.32,155.99,18.2794,3.1404,2.8574,5.22,5.4706
2019-06-06,6.36,34.32,156.67,18.3421,3.1541,2.8701,5.2,5.4519
2019-06-07,6.41,34.32,158.98,18.6149,3.2006,2.9128,5.12,5.372
2019-06-10,6.45,34.32,158.75,18.5877,3.196,2.9086,5.13,5.3799
2019-06-11,6.46,34.32,159.21,18.6414,3.2052,2.917,5.12,5.3644
2019-06-12,6.42,34.32,158.76,18.5848,3.1962,2.9081,5.13,5.3807
2019-06-13,6.37,34.32,160.57,18.7974,3.2326,2.9414,5.07,5.3199
2019-06-14,6.75,34.32,161.19,18.8706,3.2451,2.9528,5.05,5.2992
2019-06-17,6.83,34.32,162.9,19.0688,3.2795,2.9839,5.0,5.2442
2019-06-18,6.87,34.32,163.57,19.1476,3.293,2.9962,4.98,5.2226
2019-06-19,6.85,34.32,163.87,19.1836,3.299,3.0018,4.97,5.2128
2019-06-20,6.85,34.32,164.91,19.3079,3.32,3.0213,4.9399999999999995,5.1792
2019-06-21,6.89,34.32,165.57,19.3835,3.3333,3.0331,4.92,5.159
2019-06-24,6.89,34.32,165.75,19.4017,3.3374,3.0373,4.92,5.1542
2019-06-25,6.83,34.32,163.1,19.0909,3.284,2.9887,5.0,5.2381
2019-06-26,6.83,34.32,162.26,18.9914,3.2671,2.9731,5.02,5.2656
2019-06-27,6.85,34.32,162.96,19.0719,3.2812,2.9857,5.0,5.2433
2019-06-28,6.88,34.32,164.23,19.2189,3.3068,3.0087,4.96,5.2032
2019-07-01,6.89,34.16,165.46,20.0284,3.2552,2.9572000000000003,4.98,4.9929
2019-07-02,6.87,34.16,167.22,20.2414,3.2899,2.9887,4.92,4.9404
2019-07-03,6.87,34.16,168.41,20.3855,3.3133,3.0099,4.89,4.9055
2019-07-04,6.87,34.16,168.41,20.3855,3.3133,3.0099,4.89,4.9055
2019-07-05,6.87,34.16,168.73,20.4242,3.3196,3.0156,4.88,4.8961
2019-07-08,6.87,34.16,167.22,20.2414,3.2899,2.9887,4.92,4.9404
2019-07-09,6.92,34.16,167.69,20.2983,3.2991,2.9971,4.91,4.9265
2019-07-10,7.08,34.16,169.81,20.5549,3.3407999999999998,3.0349,4.85,4.865
2019-07-11,7.08,34.16,169.66,20.5368,3.3379,3.0323,4.85,4.8693
2019-07-12,7.08,34.16,170.73,20.6663,3.3589,3.0514,4.82,4.8388
2019-07-15,5.55,34.4,170.84,20.6564,3.3503,3.0242,4.83,4.8411
2019-07-16,5.57,34.4,170.73,20.6431,3.3481,3.0223,4.83,4.8442
2019-07-17,5.57,34.4,169.22,20.4605,3.3185000000000002,2.9955,4.87,4.8875
2019-07-18,6.88,34.4,167.72,20.2792,3.2891,2.969,4.92,4.9312000000000005
2019-07-19,6.87,34.4,165.51,20.012,3.2458,2.9299,4.98,4.997
2019-07-22,6.91,34.4,165.77,20.1747,3.2509,2.9345,4.98,4.9567
2019-07-23,6.89,34.4,166.27,20.2356,3.2607,2.9433,4.96,4.9418
2019-07-24,6.89,34.4,167.74,20.4145,3.2895,2.9693,4.92,4.8985
2019-07-25,6.8,34.4,167.61,20.3987,3.287,2.967,4.92,4.9023
2019-07-26,6.87,34.4,173.05,21.0607,3.3936,3.0633,4.77,4.7482
2019-07-29,6.78,34.4,172.23,20.9609,3.3776,3.0488,4.79,4.7708
2019-07-30,6.8100000000000005,34.4,171.08,20.821,3.355,3.0285,4.82,4.8027999999999995
2019-07-31,6.83,34.4,169.18,20.5897,3.3177,2.9948,4.88,4.8568
2019-08-01,6.83,34.4,168.35,20.4998,3.3015,2.9801,4.9,4.8781
2019-08-02,6.8,34.4,167.01,20.3367,3.2752,2.9564,4.9399999999999995,4.9172
2019-08-05,6.73,34.4,162.14,19.7447,3.1797,2.8702,5.09,5.0646
2019-08-06,7.37,34.4,164.33,20.0114,3.2226,2.909,5.02,4.9971
2019-08-07,7.25,34.4,163.64,19.9274,3.2091,2.8968,5.04,5.0182
2019-08-08,7.29,34.4,167.28,20.2486,3.2805,2.9612,4.93,4.9386
2019-08-09,7.29,34.4,165.94,20.0428,3.2542,2.9375,4.97,4.9893
2019-08-12,7.29,34.4,164.32,19.8462,3.2224,2.9088000000000003,5.02,5.0387
2019-08-13,7.3,34.4,166.78,20.1433,3.2707,2.9523,4.95,4.9644
2019-08-14,7.27,34.4,161.67,19.5261,3.1705,2.8619,5.1,5.1213
2019-08-15,7.23,34.4,162.44,19.6191,3.1856,2.8754999999999997,5.08,5.0971
2019-08-16,7.23,34.4,164.35,19.8498,3.223,2.9093,5.02,5.0378
2019-08-19,7.26,34.4,166.64,20.1264,3.2679,2.9499,4.95,4.9686
2019-08-20,7.24,34.4,164.99,19.9271,3.2356,2.9207,5.0,5.0183
2019-08-21,7.23,34.4,165.64,20.0056,3.2483,2.9322,4.98,4.9986
2019-08-22,7.21,34.4,165.36,19.9718,3.2428,2.9272,4.99,5.0071
2019-08-23,7.21,34.4,161.06,19.4525,3.1585,2.8510999999999997,5.12,5.1407
2019-08-26,7.21,34.4,163.52,19.7496,3.2068,2.8946,5.05,5.0634
2019-08-27,7.11,34.4,163.68,19.7689,3.2099,2.8975,5.04,5.0584
2019-08-28,7.09,34.4,164.51,19.8606,3.2262,2.9112,5.05,5.0351
2019-08-29,7.12,34.4,166.71,20.1262,3.2693,2.9501,4.99,4.9686
2019-08-30,7.12,34.4,166.58,20.1105,3.2668,2.9478,4.99,4.9725
2019-09-02,7.12,34.4,166.58,20.1105,3.2668,2.9478,4.99,4.9725
2019-09-03,7.09,34.4,164.87,19.9041,3.2332,2.9176,5.04,5.0241
2019-09-04,7.12,34.4,167.52,20.2253,3.2852,2.9645,4.96,4.9443
2019-09-05,7.15,34.4,170.2,20.5489,3.3378,3.0119,4.89,4.8664
2019-09-06,7.11,34.4,169.82,20.503,3.3303,3.0052,4.9,4.8773
2019-09-09,7.12,34.4,170.2,20.5489,3.3378,3.0119,4.89,4.8664
2019-09-10,7.12,34.4,170.15,20.5429,3.3368,3.011,4.89,4.8679
2019-09-11,7.12,34.4,171.76,20.7372,3.3683,3.0395,4.84,4.8222000000000005
2019-09-12,7.12,34.4,172.39,20.9571,3.3803,3.0501,4.82,4.7717
2019-09-13,7.13,34.41,172.31,20.9473,3.3787,3.0487,4.83,4.7739
2019-09-16,7.16,34.42,170.99,20.7869,3.3529,3.0253,4.86,4.8107
2019-09-17,7.16,34.42,171.49,20.8477,3.3627000000000002,3.0342,4.85,4.7966999999999995
2019-09-18,7.16,34.42,171.35,20.8306,3.3599,3.0317,4.85,4.8006
2019-09-19,7.18,34.42,171.45,20.8428,3.3619,3.0335,4.85,4.7978
2019-09-20,7.16,34.42,170.66,20.7468,3.3464,3.0195,4.87,4.82
2019-09-23,7.11,34.37,169.98,20.6215,3.3303,3.0108,4.89,4.8493
2019-09-24,7.09,34.37,167.7,20.3449,3.2856,2.9705,4.95,4.9152000000000005
2019-09-25,7.13,34.37,169.58,20.573,3.3224,3.0038,4.9,4.8607
2019-09-26,7.12,34.37,168.23,20.4092,3.296,2.9798,4.9399999999999995,4.8998
2019-09-27,7.1,34.37,166.67,20.2199,3.2654,2.9522,4.98,4.9456
2019-09-30,7.1,33.32,167.26,20.4839,3.2354,2.906,4.95,4.8819
2019-10-01,7.09,33.32,165.56,20.2757,3.2025,2.8765,5.0,4.932
2019-10-02,7.13,33.32,163.32,20.0014,3.1591,2.8375,5.07,4.9996
2019-10-03,7.17,33.32,164.67,20.1667,3.1853,2.8609999999999998,5.03,4.9587
2019-10-04,7.17,33.32,166.98,20.4496,3.2298999999999998,2.9011,4.96,4.8901
2019-10-07,7.15,33.32,167.05,20.4582,3.2313,2.9023,4.95,4.888
2019-10-08,7.15,33.32,164.85,20.1888,3.1887,2.8641,5.02,4.9532
2019-10-09,7.41,33.32,165.47,20.2647,3.2007,2.8749000000000002,5.0,4.9347
2019-10-10,7.5,33.32,166.53,20.3945,3.2212,2.8933,4.97,4.9033
2019-10-11,7.53,33.32,168.26,20.6064,3.2547,2.9234,4.92,4.8529
2019-10-14,7.34,33.32,167.92,20.564799999999998,3.2481,2.9175,4.93,4.8627
2019-10-15,7.43,33.32,170.64,20.8979,3.3007,2.9647,4.85,4.7852
2019-10-16,7.13,33.32,170.89,20.9285,3.3056,2.9691,4.84,4.7782
2019-10-17,7.13,33.32,171.98,21.062,3.3266999999999998,2.988,4.8100000000000005,4.7479
2019-10-18,7.08,33.32,170.48,20.8783,3.2976,2.9619,4.85,4.7897
2019-10-21,7.11,33.32,171.19,20.9652,3.3114,2.9743,4.83,4.7698
2019-10-22,7.05,33.32,169.65,20.7766,3.2816,2.9475,4.88,4.8131
2019-10-23,7.1,33.32,170.73,20.9089,3.3025,2.9663,4.85,4.7827
2019-10-24,7.1,33.32,169.48,20.7558,3.2782999999999998,2.9446,4.88,4.8179
2019-10-25,7.25,33.32,170.68,20.9028,3.3015,2.9654,4.85,4.7841000000000005
2019-10-28,7.26,33.32,172.68,21.1477,3.3402,3.0002,4.79,4.7286
2019-10-29,7.27,33.32,171.03,20.9456,3.3083,2.9715,4.84,4.7743
2019-10-30,7.26,33.32,171.36,20.986,3.3147,2.9772,4.83,4.7651
2019-10-31,7.23,33.32,171.82,21.0424,3.3236,2.9852,4.82,4.7523
2019-11-01,7.22,33.32,173.25,21.2175,3.3512,3.0101,4.78,4.7131
2019-11-04,7.58,33.32,173.95,21.5574,3.3648,3.0222,4.76,4.6388
2019-11-05,7.57,33.32,173.83,21.5425,3.3624,3.0201,4.76,4.642
2019-11-06,7.73,33.32,173.48,21.4991,3.3557,3.0141,4.77,4.6513
2019-11-07,8.26,33.32,174.64,21.6429,3.3781,3.0342,4.74,4.6205
2019-11-08,8.29,33.32,175.28,21.7018,3.3905,3.0453,4.72,4.6079
2019-11-11,8.26,33.32,174.59,21.6117,3.3771,3.0329,4.74,4.6271
2019-11-12,8.28,33.32,175.11,21.676,3.3872,3.0419,4.73,4.6134
2019-11-13,8.58,33.32,175.85,21.7676,3.4015,3.0548,4.71,4.594
2019-11-14,8.6,33.32,176.38,21.8333,3.4118,3.064,4.7,4.5802
2019-11-15,8.2,33.32,177.63,21.988,3.4359,3.0857,4.66,4.5479
2019-11-18,8.19,33.32,178.12,22.0486,3.4454000000000002,3.0942,4.65,4.5354
2019-11-19,8.2,33.32,177.66,21.9887,3.4361,3.0858,4.66,4.5478
2019-11-20,8.2,33.32,176.25,21.8142,3.4088,3.0613,4.7,4.5842
2019-11-21,8.2,33.32,176.69,21.8687,3.4173,3.069,4.6899999999999995,4.5728
2019-11-22,8.18,33.32,176.92,21.897100000000002,3.4218,3.0729,4.68,4.5668
2019-11-25,8.17,33.33,177.13,21.9213,3.4253,3.0759,4.68,4.5618
2019-11-26,8.15,33.33,177.77,22.0005,3.4377,3.0871,4.66,4.5454
2019-11-27,8.17,33.33,178.89,22.1391,3.4593,3.1065,4.63,4.5169
2019-11-28,8.17,33.33,178.89,22.1391,3.4593,3.1065,4.63,4.5169
2019-11-29,8.16,33.33,178.24,22.0586,3.4468,3.0952,4.65,4.5334
2019-12-02,8.14,33.33,176.69,21.8668,3.4168,3.0683,4.6899999999999995,4.5731
2019-12-03,8.14,33.33,176.54,21.8482,3.4139,3.0657,4.6899999999999995,4.577
2019-12-04,8.14,33.33,177.67,21.9881,3.4356999999999998,3.0853,4.66,4.5479
2019-12-05,8.14,33.36,178.36,22.1331,3.4691,3.1055,4.63,4.5181000000000004
2019-12-06,8.17,33.36,179.48,22.272100000000002,3.4909,3.125,4.61,4.4899000000000004
2019-12-09,8.18,33.36,178.96,22.1996,3.4808,3.1159,4.62,4.5046
2019-12-10,8.12,33.36,178.32,22.1202,3.4684,3.1048,4.64,4.5207
2019-12-11,8.04,33.36,178.86,22.1872,3.4789,3.1142,4.62,4.5071
2019-12-12,7.99,33.36,178.85,22.186,3.4787,3.114,4.62,4.5074
2019-12-13,8.0,33.36,178.27,22.114,3.4674,3.1039,4.64,4.522
2019-12-16,8.01,33.36,180.12,22.3435,3.5034,3.1361,4.59,4.4756
2019-12-17,8.0,33.36,180.14,22.346,3.5038,3.1365,4.59,4.4751
2019-12-18,8.04,33.36,180.67,22.4117,3.5141,3.1457,4.58,4.4619
2019-12-19,8.07,33.36,182.1,22.5891,3.5419,3.1706,4.54,4.4269
2019-12-20,8.04,33.36,182.8,22.676,3.5555,3.1828,4.52,4.41
2019-12-23,8.05,33.38,182.18,22.6512,3.5534,3.1558,4.53,4.4148
2019-12-24,8.04,33.38,181.94,22.6213,3.5487,3.1517,4.53,4.4206
2019-12-25,8.04,33.38,181.94,22.6213,3.5487,3.1517,4.53,4.4206
2019-12-26,8.06,33.38,183.42,22.8053,3.5776,3.1773,4.5,4.3849
2019-12-27,8.05,33.38,183.16,22.773,3.5725,3.1728,4.5,4.3911999999999995
2019-12-30,8.02,33.5,181.28,22.6891,3.5313,3.132,4.52,4.4074
2019-12-31,8.01,33.28,181.64,22.0502,3.4001,3.0987,4.62,4.5351
2020-01-01,8.01,33.28,181.64,22.0502,3.4001,3.0987,4.62,4.5351
